Label,Title
0,Mudança e melhoria do Sistema do Fórum
1,Mecanismo de busca do fórum
2,Listagem de todos os tópicos do fórum
3,Novo acervo do Religião é Veneno
4,Problema no servidor - 07/02/2023
5,Aniversário dos fóruns que deram continuidade ao fCC
6,Avatares para todos
7,Backup do fórum
8,Comunicados gerais
9,Migração do fórum Manjaro BR
10,Por onde andam antigos participantes?
11,Aplicativo Clube Veneno para Android
12,Solução temporária para resolver problemas com a mudança do tema do fórum
13,Dúvidas a respeito de postagem de vídeos
14,Tópico de teste - Fusão de Origem e Destino
15,Tópico de teste - Mover postagens - Destino (Cópia)
16,Tópico de teste - Mover postagens - Destino
17,Tópico de teste - Mover postagens - Origem
18,Tópico de teste - Mover postagens - Origem (Cópia)
19,Ùltimo teste
20,Teste de download
21,Teste de criação de típico
22,Teste de Cores
23,Teste de imagem
24,Teste de anexo
25,Citações e exemplos - Pergunte aqui. Tire suas dúvidas.
26,Tópico para Assuntos Fora do Tópico (Off-topic)
27,Uso de Spoiler e Off_Topic
28,Teste de enquete
29,Enquete
30,"Sugestões de organização dos tópicos (Fusões, Separações, Mover Postagens)"
31,Lista de melhorias desejadas
32,Como posso excluir ou desativar meu perfil?
33,Denúncia do forista Gabarito
34,Assédio
35,Recondução de post
36,Acesso negado / Falha no formulário
37,Visualizações
38,Pergunte aos ateus
39,Discovering the Joy of Radiointernetowe - A Perfect Blend of Music and Connectivity!
40,A elitização do ateísmo
41,Ciência e Fé conflitam ou não?
42,Agnosticismo não é meio termo entre Ateísmo e Teísmo!
43,Existe ex-ateu?
44,Tentar provar Deus vai contra a fé!
45,O Panteísmo é uma forma de ateísmo?
46,[Exercício Filosófico] Conhecimento requer crença?
47,Livre Arbítrio
48,"""Problema do Mal"""
49,"por que se definir como ""ateu""?"
50,Satanás e a expulsão do céu
51,Medicina alternativa e pseudociências
52,Estranhos mistérios estranhamente misteriosos
53,Estudos científicos sobre o paranormal
54,Parapsicologia
55,O Mundo tem um Logos
56,Deus existe ?
57,Vida extraterrestre? A verdade está lá fora?
58,Lei da atração
59,Astrologia
60,O Homem de Piltdown
61,Ceticismo
62,Análise sobre a Mentira
63,"UFOs / OVNIs e outras coisas ""extraterrestres"""
64,Picaretas & Picaretagens
65,Novidades Arqueológicas
66,Viagem Astral
67,Construções Megalíticas do Passado
68,[Arqueologia] O Mistério das Bolsas
69,Túmulo de Jesus?
70,"Contato Imediato...se ocorrer, como é que fica?"
71,Tinha que ser lei
72,"Viagem no tempo - realidade, ficção e picaretagem"
73,Você é um Quack? (Charlatão)
74,Eram os Deuses Astronautas?
75,Tópico quanticamente energizado
76,Experiências Sobrenaturais
77,Sobre Publius Lentulus e a aparencia de JC
78,Livros e links sobre Ceticismo
79,O Problema da Identidade Pessoal
80,Anjos e Demônios
81,DocFake
82,Argumentos Antifisicalistas
83,O guia de bolso para prevenção de besteiras
84,Homeopatia
85,Telecinesia existe?
86,"“As pessoas resistem à ideia, mas a vida é só química”, diz vencedor do Nobel"
87,O Mundo Assombrado pelos Demônios
88,Antigo Egito - Tópico Oficial
89,Sinais de antiga superinteligência de máquina pós-biológica
90,Religiosidade pseudo-científica
91,Pesquisadores descobrem sistema de filtragem de água Maya de 2.000 anos
92,Questionando o Pseudo-ceticismo
93,Bullshido - Baboseira em artes marciais
94,O experimento do Cérebro Chinês
95,Cérebros de Boltzmann
96,Ilusões de Tempo - Perspectiva psicológica
97,"""Profecias"" genéricas"
98,As linhas de Nazca - Novas descobertas
99,"Charlatanismo, Curandeirismo e Fraudes Espirituais"
100,"Céticos seletivos: Negacionistas, pseudo-científicos, etc"
101,Heurística e Vieses Cognitivos
102,Caso Roswell
103,A dificuldade de acreditar em fatos e evidências
104,Amigos Imaginários
105,Superstição - A caixa de Skinner
106,Inteligência Artificial - WebChatGPT - Uma revolução na escrita
107,Ataques hackers: Ransomware e outros malwares causando prejuízos enormes
108,Cibersegurança: o que é essencial como ferramenta de proteção?
109,Diabetes ou Resistência à Insulina?
110,Inteligência artificial - Generalidades
111,"Poluição (ar, solo e água)"
112,"Sustentabilidade: Energias alternativas, etc."
113,Mudanças Climáticas
114,Comida orgânica e volta à vida natural
115,Experiencia confirma minha teoria de que a lei de Coulomb é incompleta
116,Engenharia
117,Inteligência Artificial - Criação de imagens
118,"Dimensões ocultas, perceptíveis e meu modelo dimensional"
119,Uso de computador com o Sistema Operacional na Nuvem
120,Destruindo as baboseiras ditas sobre a eficácia e a segurança de vacinas anti-COVID
121,Mudança no sistema educacional brasileiro
122,Mitos alimentares
123,Água
124,O dilema das redes sociais
125,Coronavirus - Covid-19 (Aspectos científicos)
126,Embalagens e utensílios que intoxicam
127,Outras epidemias (além da Covid)
128,Oceano Pacífico e Theia
129,Fenômenos geológicos
130,Tratamentos naturais: Homeopatia ou medicina de fato?
131,Corrupção na indústria farmacêutica
132,Câncer
133,Questões de saúde - Dicas e hábitos saudáveis
134,"Coronavirus - Covid-19 (Medidas sanitárias, lockdown, corrupção)"
135,Astronomia
136,Ferrovias
137,Energia nuclear
138,Quatro falácias da psicologia evolutiva pop
139,"Recordes na Ciência, Tecnologia e Saúde"
140,Vida: Origem? Por que ela existe?
141,Exemplos de revisão de algumas Leis da Física
