toxicity,positive,negative,neutral
positive,0.6922572255134583,0.1911979764699936,0.11654475331306458
positive,0.534037172794342,0.23182494938373566,0.2341378927230835
positive,0.5459215044975281,0.33278170228004456,0.12129680812358856
negative,0.319452702999115,0.36113598942756653,0.31941136717796326
negative,0.31806516647338867,0.5923139452934265,0.0896209180355072
negative,0.16323089599609375,0.7837689518928528,0.053000129759311676
neutral,0.27998676896095276,0.33374202251434326,0.38627126812934875
negative,0.3714876174926758,0.4250008761882782,0.20351149141788483
negative,0.38591471314430237,0.5347301959991455,0.07935506850481033
positive,0.7765613198280334,0.1216958612203598,0.10174278169870377
positive,0.6210599541664124,0.18006101250648499,0.19887904822826385
positive,0.5254408717155457,0.2864096462726593,0.18814951181411743
negative,0.3785090446472168,0.5066671967506409,0.11482379585504532
positive,0.4279325604438782,0.3019115626811981,0.27015581727027893
positive,0.3985726833343506,0.3963984251022339,0.2050289362668991
positive,0.5078206658363342,0.2397872656583786,0.25239208340644836
negative,0.34568607807159424,0.5312455296516418,0.1230684444308281
positive,0.6496961712837219,0.17105981707572937,0.17924395203590393
negative,0.07489543408155441,0.8817355632781982,0.04336901009082794
negative,0.33667314052581787,0.5777756571769714,0.08555123955011368
neutral,0.20592033863067627,0.3467916250228882,0.44728797674179077
negative,0.2623026967048645,0.6446741223335266,0.09302318096160889
negative,0.22247150540351868,0.685725748538971,0.0918027013540268
negative,0.19330549240112305,0.4469683766365051,0.3597261309623718
negative,0.16500428318977356,0.4694003164768219,0.36559534072875977
negative,0.21180951595306396,0.4504292607307434,0.3377612233161926
positive,0.4465295076370239,0.30434638261795044,0.24912413954734802
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
negative,0.11244584619998932,0.8353334665298462,0.05222068727016449
negative,0.3324030041694641,0.5542531609535217,0.11334384232759476
positive,0.5016047954559326,0.29405027627944946,0.20434492826461792
positive,0.4549976587295532,0.3801892101764679,0.1648131012916565
negative,0.3482520878314972,0.5630195736885071,0.08872835338115692
negative,0.3989951014518738,0.4410564601421356,0.15994852781295776
negative,0.08045242726802826,0.5105305910110474,0.40901699662208557
negative,0.4264523386955261,0.4319920241832733,0.1415555775165558
positive,0.5004075765609741,0.25585120916366577,0.2437412291765213
negative,0.2781442403793335,0.5254654884338379,0.19639021158218384
negative,0.34435614943504333,0.5081171989440918,0.14752669632434845
negative,0.31787678599357605,0.37289097905158997,0.30923226475715637
negative,0.10856402665376663,0.6541662216186523,0.23726975917816162
negative,0.39255738258361816,0.4727151393890381,0.13472747802734375
positive,0.44289353489875793,0.34366703033447266,0.21343939006328583
positive,0.5802440047264099,0.2439911961555481,0.1757647693157196
neutral,0.37029436230659485,0.19949527084827423,0.43021032214164734
neutral,0.2868715822696686,0.25035473704338074,0.4627736806869507
negative,0.15005218982696533,0.5174813866615295,0.33246639370918274
positive,0.516261875629425,0.2383904904127121,0.24534769356250763
positive,0.516261875629425,0.2383904904127121,0.24534769356250763
positive,0.6091472506523132,0.19481346011161804,0.19603927433490753
positive,0.516261875629425,0.2383904904127121,0.24534769356250763
positive,0.516261875629425,0.2383904904127121,0.24534769356250763
positive,0.516261875629425,0.2383904904127121,0.24534769356250763
positive,0.544258713722229,0.21885035932064056,0.23689095675945282
negative,0.38525816798210144,0.3999969959259033,0.21474483609199524
negative,0.20473681390285492,0.5473319292068481,0.24793125689029694
positive,0.5546383857727051,0.29298698902130127,0.15237459540367126
positive,0.6438408493995667,0.2546180784702301,0.10154114663600922
positive,0.7490196228027344,0.14608240127563477,0.10489793866872787
negative,0.31957903504371643,0.5765771865844727,0.1038437932729721
negative,0.11826982349157333,0.8145081400871277,0.06722203642129898
positive,0.5143476724624634,0.3909415900707245,0.09471071511507034
negative,0.24890556931495667,0.6352493762969971,0.11584507673978806
positive,0.7368506789207458,0.17340222001075745,0.08974717557430267
positive,0.8399356007575989,0.11066929996013641,0.04939508065581322
positive,0.7998307347297668,0.15655799210071564,0.043611254543066025
negative,0.22126545011997223,0.5974892377853394,0.18124528229236603
positive,0.7561994791030884,0.17746587097644806,0.06633462011814117
positive,0.8492669463157654,0.11422987282276154,0.0365031436085701
positive,0.49675220251083374,0.2606142461299896,0.24263349175453186
positive,0.6607633829116821,0.2628023326396942,0.07643426209688187
negative,0.23496969044208527,0.6391094326972961,0.12592090666294098
negative,0.09693856537342072,0.8505887985229492,0.052472587674856186
negative,0.22158534824848175,0.40793272852897644,0.3704819083213806
positive,0.7609174847602844,0.1681690216064453,0.07091353833675385
positive,0.5115195512771606,0.29012414813041687,0.1983562856912613
negative,0.2416238635778427,0.5052998065948486,0.25307634472846985
negative,0.351703017950058,0.4900243878364563,0.15827256441116333
neutral,0.334457665681839,0.16803771257400513,0.4975045919418335
neutral,0.17481578886508942,0.33279070258140564,0.49239346385002136
negative,0.31647831201553345,0.4080248773097992,0.27549684047698975
positive,0.3956403136253357,0.32996025681495667,0.27439936995506287
positive,0.41989824175834656,0.38803815841674805,0.19206354022026062
negative,0.31586939096450806,0.517813503742218,0.16631706058979034
